Model,Lambda,Audit_Objective,Production_Objective,Objective_Difference,Gap,Status,Solve_Time,Any_C_Inflation,Max_C_Inflation,Total_Current_IDLE,Total_Workload_Unused_Capacity,Total_Current_OT,Total_Workload_OT
LightGBM,0.0,1280.2211414717526,1280.2211414717526,0.0,0.5988870264145342,9,300.0050392150879,False,0.0,0.0,0.0,891.5709721690033,891.5711133624199
LightGBM,0.5,2511.6840038878313,2511.6840038878318,-4.547473508864641e-13,0.4760045073231341,9,300.01091480255127,False,0.0,0.0,0.0,1946.3368867839763,1946.3374576539434
RF,0.0,1134.91864427449,1134.91864427449,0.0,0.6251013492181916,9,300.0159237384796,False,1.1368683772161603e-13,0.0,0.0,767.0657785793912,767.0826941871328
RF,0.5,1241.3668990609171,1241.3668990609171,0.0,0.5807408949017067,9,300.00556564331055,False,0.0,0.0,0.0,847.4594789605621,847.4860351574017
XGBoost,0.0,1213.9706105516038,1213.9706105516038,0.0,0.5973709892549147,9,300.01415491104126,False,0.0,0.0,0.0,819.5221372197502,819.52223
XGBoost,0.5,2498.640312658732,2498.640312658732,0.0,0.4981572074830819,9,301.1133601665497,False,0.0,0.0,0.0,1935.6220750992045,1935.62744
