Model,Lambda,Cap_Setting,Duration_Cap,Objective,Overtime,Idle,Makespan,Sched_Util,Cap_Util,Buffer_Ratio,Cap_Expansion,OnTime_Rate,Load_Gap,N_Capped,Pct_Capped,Max_Uncapped_Duration,Max_Planning_Duration,Solve_Time,Variables,Constraints,Nodes,Gap,Status,Reached_1pct_Gap,Hit_Time_Limit
LightGBM,1.0,Uncapped,,3743.191717810866,3001.103259440607,0.0,1483.071871374015,0.4844677071600959,1.4941466065016802,1.980461522039271,3.0840994857226436,0.0,5.525226832517546,0,0.0,442.0028144420359,442.0028144420359,300.00934171676636,269,864,3488824.0,0.4191965937404735,9,False,True
RF,1.0,Uncapped,,1350.0608165689907,927.8892050047359,0.0,831.6094203581408,0.8560715973968379,1.4076963154077313,1.0793291178508242,1.6443675034755112,0.0,63.669013851845875,0,0.0,249.74772936072284,249.74772936072284,300.01106214523315,269,864,2915906.0,0.5917620494246925,9,False,True
XGBoost,1.0,Uncapped,,3808.2259665550937,3051.7320850612205,0.0,1509.3545499999932,0.4629666664483746,1.4441126597222222,2.0734246490839388,3.1192583924036255,0.0,18.166064938764293,0,0.0,382.83618,382.83618,300.0042757987976,269,864,2971505.0,0.45139936328676394,9,False,True
