Model,Lambda,N_Capped,Pct_Capped,Max_Uncapped
LightGBM,0.0,237,1.387344143300357,516.391134702034
LightGBM,0.5,797,4.665456886963648,639.0310489547127
LightGBM,1.0,4950,28.976175144880877,1037.2622473272352
RF,0.0,0,0.0,176.60300537459096
RF,0.5,67,0.3922027746882866,452.00555817779474
RF,1.0,527,3.0849382426974183,731.866735038222
XGBoost,0.0,142,0.8312357314289059,389.4569
XGBoost,0.5,299,1.7502780542059357,451.32887000000005
XGBoost,1.0,10509,61.517297898495585,711.5357000000001
