Scope,Runs,Mean_Solve_Time_s,Median_Solve_Time_s,Max_Solve_Time_s,Mean_Final_MIP_Gap,Median_Final_MIP_Gap,Max_Final_MIP_Gap,Reached_1pct_Count,Reached_1pct_Percent,Time_Limit_Count,Time_Limit_Percent,Mean_Nodes,Median_Nodes
Overall,33,300.19297281178564,300.01749324798584,301.0601453781128,0.5348117303563837,0.5675847194299561,0.6248754747146137,0,0.0,33,100.0,3314883.090909091,3273922.0
LightGBM,11,300.1689405658028,300.0149619579315,300.8839452266693,0.51132541980697,0.48275370765044734,0.5970384505538621,0,0.0,11,100.0,3140689.1818181816,3045043.0
RF,11,300.29542467810893,300.0174140930176,301.0601453781128,0.5875961359862442,0.5809032716202152,0.6248754747146137,0,0.0,11,100.0,3370603.8181818184,3379127.0
XGBoost,11,300.1145531914451,300.02100920677185,300.9721953868866,0.5055136352759372,0.4855554657399028,0.6039828000516959,0,0.0,11,100.0,3433356.272727273,3287628.0
