Lambda,Time_Limit,Duration_Cap,N_Capped,Pct_Capped,Max_Uncapped_Duration,Max_Planning_Duration,Objective,Overtime,Idle,Makespan,Sched_Util,Cap_Util,Buffer_Ratio,Cap_Expansion,OnTime_Rate,Load_Gap,Solve_Time,Variables,Constraints,Nodes,Gap,Status,Reached_1pct_Gap,Hit_Time_Limit,Model,Solver_Failed,Failure_Type,Failure_Message,Run_Wall_Time
0.0,300,360.0,0,0.0,170.56413661767414,170.56413661767414,1134.91864427449,767.0657785793912,0.0,735.6993044412969,0.9184514181049436,1.4076963154077313,1.0,1.5326845684579105,0.0,0.0321347445030824,301.0601453781128,269,864,3379127.0,0.6248754747146137,9,False,True,RF,False,,,302.3583867549896
0.1,300,360.0,0,0.0,177.49949791023244,177.49949791023244,1154.483966495468,783.1631303043558,0.0,742.2578772388383,0.9118011479029975,1.4076963154077313,1.0079329117850824,1.5438632849335805,0.0,1.9189757169282302,300.0174140930176,269,864,3251896.0,0.5724720539016681,9,False,True,RF,False,,,301.3815908432007
0.2,300,360.0,0,0.0,185.52707918250914,185.52707918250914,1176.2094758369883,799.2440250808897,0.0,752.1859794376456,0.905253144133725,1.4076963154077313,1.0158658235701647,1.55503057297284,0.0,8.724610372756956,300.4050178527832,269,864,3214460.0,0.5740027023290416,9,False,True,RF,False,,,301.81182527542114
0.3,300,360.0,0,0.0,193.55466045478587,193.55466045478587,1197.937644355473,815.3245362688281,0.0,762.1137727036318,0.8987986702528876,1.4076963154077313,1.0237987353552473,1.5661975946311306,0.0,15.562217348290687,300.0142936706543,269,864,3858173.0,0.5719187228735939,9,False,True,RF,False,,,301.6515703201294
0.4,300,360.0,0,0.0,201.58224172706258,201.58224172706258,1219.6305857888142,831.3719577087295,0.0,772.0418861008018,0.892448586990558,1.4076963154077313,1.0317316471403297,1.577341637297729,0.0,22.376850296837915,300.0098361968994,269,864,2958302.0,0.6109224052009611,9,False,True,RF,False,,,301.2846214771271
0.5,300,360.0,0,0.0,209.6098229993393,209.6098229993393,1241.3668990609171,847.4594789605621,0.0,781.9698369975123,0.8861720667979893,1.4076963154077313,1.039664558925412,1.5885135270559458,0.0,29.225016015987535,300.01342487335205,269,864,3531000.0,0.5809032716202152,9,False,True,RF,False,,,301.4772439002991
0.6,300,360.0,0,0.0,217.637404271616,217.637404271616,1263.1128000037124,863.5567191237911,0.0,791.897787894206,0.8799795018540628,1.4076963154077313,1.0475974707104942,1.5996921660581882,0.0,36.071869328180924,300.0365459918976,269,864,4066936.0,0.5805976546472171,9,False,True,RF,False,,,301.6735382080078
0.7,300,360.0,0,0.0,225.6649855438927,225.6649855438927,1284.860347161772,879.6472093777932,0.0,801.8257387909141,0.8738754263976478,1.4076963154077313,1.0555303824955768,1.6108661176234675,0.0,43.00268388521897,300.00608468055725,269,864,2661342.0,0.5983840755294253,9,False,True,RF,False,,,301.23634600639343
0.8,300,360.0,0,0.0,233.6925668161694,233.6925668161694,1306.5938693577946,895.7278727748485,0.0,811.7536896876416,0.8678591020018764,1.4076963154077313,1.0634632942806594,1.6220332449825337,0.0,49.891517391251,300.8571698665619,269,864,3808892.0,0.5767709010124019,9,False,True,RF,False,,,302.6433598995209
0.9,300,360.0,0,0.0,241.72014808844614,241.72014808844614,1328.327231691288,911.8083762808187,0.0,821.6816405843401,0.861925110324162,1.4076963154077313,1.0713962060657418,1.633200261306124,0.0,56.78035118299147,300.81556582450867,269,864,3409007.0,0.5810715464071494,9,False,True,RF,False,,,302.251900434494
1.0,300,360.0,0,0.0,249.74772936072284,249.74772936072284,1350.0608165689907,927.8892050047359,0.0,831.6094203581408,0.8560715973968379,1.4076963154077313,1.0793291178508242,1.6443675034755112,0.0,63.669013851845875,300.01417303085327,269,864,2937507.0,0.5916386876123988,9,False,True,RF,False,,,301.32951307296753
